"","Id2","TotalTotalPopulation","MaleTotalPopulation","FemaleTotalPopulation","M_5To14Years","F_5To14Years","M_15To17Years","F_15To17Years","M_18To24Years","F_18To24Years","M_15To44Years","F_15To44Years","M_18YearsAndOver","F_18YearsAndOver","M_MedianAge","F_MedianAge","M_Percent","F_Percent"
"3995",14042,3834,1912,1922,14,12.5,6.4,4.5,10.5,10.5,41.1,40.1,73.7,73.8,36.2,37.5,50,51
"3996",14043,24139,11655,12484,13,10.9,2.4,3.4,8.6,7,38,34.2,79,80,39.1,44.2,49,52
"3997",14047,6878,3367,3511,9.9,12.4,3,4,11.8,8.7,39.5,37.9,80.7,77.2,41.1,40.2,49,52
"3998",14048,15043,7394,7649,10,10.8,5.1,2.7,12.1,10.4,41.4,35.1,79.6,80.3,39.4,44,50,51
"3999",14051,19795,9962,9833,15.1,13.5,5,5.4,8,5.6,34.6,33,73.9,76.6,39.9,44.2,51,50
"4000",14052,17137,8308,8829,13.7,11.9,3.8,4,8.8,6.4,30.5,28.3,75.5,77.9,44.5,46.4,49,52
"4001",14054,1280,668,612,10.3,15.2,2.5,4.2,6.4,5.6,35.6,31.4,81,74,43.9,41.3,53,48
"4002",14055,1534,778,756,17.6,10.4,7.7,5.6,5.9,15.1,35.2,39.7,72.6,83.2,43,44.3,51,50
"4003",14057,8080,4003,4077,11.5,14.1,5.6,3.6,7.4,4.8,30.1,29.3,77.7,79.9,47,47.8,50,51
"4004",14058,2235,1161,1074,11.9,14.3,3.7,2.4,10,11.9,45.2,34.4,80.6,77.5,36.7,42.6,52,49
"4005",14059,9619,4784,4835,12.1,11.6,3.7,3.9,9.6,4,27.8,25.6,83.5,79.8,50.6,49.6,50,51
"4006",14060,599,310,289,6.1,6.2,4.8,4.8,11.9,9.7,34.8,31.8,85.2,85.1,48.7,48.7,52,49
"4007",14061,300,152,148,12.5,4.1,3.9,6.1,17.8,10.1,48,40.5,77.6,83.8,31.4,41.7,51,50
"4008",14062,3166,1681,1485,13.4,13.9,5,4.3,5.8,2.7,30.5,33.9,75.7,75.9,45.1,43.2,54,47
"4009",14063,14627,7166,7461,9.5,6.6,3.4,0.8,26.3,32.9,48.3,48.3,83.1,88.6,29,34.7,49,52
"4010",14065,1792,924,868,10.5,13.9,1.7,2.5,6.9,6.7,32.8,28,82.7,73.6,45.5,42.4,52,49
"4011",14066,1188,645,543,9.8,17.7,7.3,5.7,9.8,7.7,41.6,40.3,80.5,76.1,42,37.2,55,46
"4012",14067,5472,2779,2693,12.2,15.9,1.4,3.6,7.6,3.3,32.4,30.4,77.3,74,42.1,42.6,51,50
"4013",14068,7289,3254,4035,16.4,9.6,5.6,3.9,6.5,7.4,28.8,30,73.9,83,45.3,50.3,45,56
"4014",14069,763,435,328,11.5,2.1,1.6,7,8.5,6.1,21.8,27.7,85.3,82.3,52.8,51.5,58,43
"4015",14070,6078,3627,2451,8.2,6.7,1.7,3.6,8.5,5.2,47,30.2,88,85.1,40.7,51.1,60,41
"4016",14072,20469,9845,10624,10.8,13.9,5.1,5.1,8.6,8,34.8,35.2,78.1,75.9,44.4,43.2,49,52
"4017",14075,43007,20552,22455,13.6,11.4,4,4.7,9.3,7,37.3,34.9,76.9,80.3,40.6,45.1,48,53
"4018",14080,4564,2350,2214,12.9,16.3,2.6,3.9,7.3,8.9,33.3,33.6,81.7,76.5,45.5,43.2,52,49
"4019",14081,3081,1532,1549,5.2,8.6,7.5,3.7,10.6,5,33.5,28.8,81.7,82.6,48,47.8,50,51
"4020",14082,302,122,180,8.2,10,0,3.9,0,11.1,35.2,36.1,85.2,82.8,48,46.1,41,60
"4021",14085,6988,3710,3278,18.3,12.8,6.1,1.8,8.9,7.1,36.1,36.3,71.8,79.9,39.3,43.3,54,47
"4022",14086,31920,15736,16184,15,13.1,5,3.2,8.9,7.2,36.8,34.5,75.5,78,40.6,42.9,50,51
"4023",14091,1138,573,565,14.8,3,0,1.4,8.6,6.9,31.6,25.1,80.6,76.3,44.8,48.2,51,50
"4024",14092,11342,5386,5956,10.5,8.4,3.5,3.3,8,6.1,30.4,30.8,79.2,84.5,46.9,50.5,48,53
"4025",14094,50807,24685,26122,12.5,12.3,4.3,3.9,8.5,7.7,38.7,36.6,77.4,77.6,41,41.5,49,52
"4026",14098,3107,1551,1556,15.6,16.9,7.4,3.2,7.1,5.5,31.3,27.2,72.3,76.7,42.9,47.5,50,51
"4027",14101,2098,1049,1049,11.7,9.2,4.9,5.7,4,8.2,32.8,37.8,72.6,78.8,41.6,41.1,50,50
"4028",14102,1647,820,827,13.4,23.9,2.9,12.7,17.1,2.8,42.7,36.9,82.6,62,38.8,37.4,50,51
"4029",14103,10886,5265,5621,14.7,13.9,3,3.6,7.9,9.5,36.2,36.3,75.1,76.6,38.4,39.5,49,52
"4030",14105,4058,2098,1960,12.4,13.9,4.2,1.2,10.2,7.1,38.9,32.9,77.8,79.3,39.9,41.8,52,49
"4031",14108,5507,2884,2623,21.6,9.6,2.2,4.2,4.7,3.1,33.1,33.9,73.4,83.1,40.6,47.8,53,48
"4032",14109,827,266,561,0,0,0,0,100,98.6,100,98.6,100,100,19.1,19.5,33,68
"4033",14111,3498,1835,1663,14.9,13.8,4.5,3.1,7.9,4.8,34.7,41.4,72.5,79.4,37,42.4,53,48
"4034",14112,8,4,4,0,0,0,0,0,0,0,0,100,100,NA,NA,50,50
"4035",14113,630,307,323,2.9,7.4,2,0,25.1,19.5,41.7,37.2,92.8,90.1,45.3,47.4,49,52
"4036",14120,44334,21372,22962,12.1,11.3,4.2,2.7,9.3,8.7,37.6,34.8,78.5,80.5,41,43.7,49,52
"4037",14125,3751,1860,1891,14,10.3,4.9,7.9,6.9,9.7,41.7,43.3,76.3,73.5,37,37,50,51
"4038",14126,682,350,332,13.4,12.3,14.6,0,0,3.6,19.1,30.7,72,87.7,47.9,46.9,52,49
"4039",14127,29940,14483,15457,15.6,11.1,5.1,4.1,7.7,6.9,34,31.8,75.1,80.1,42.8,46.1,49,52
"4040",14129,1529,751,778,13.6,11.7,8.3,5.4,5.5,4.6,36.8,35.3,71.1,76.2,40.6,42.1,50,51
"4041",14130,241,124,117,9.7,0,0,7.7,11.3,10.3,20.2,32.5,71,70.9,45.5,31.8,52,49
"4042",14131,4756,2457,2299,11.4,9.7,5.7,3.8,9.7,11.7,32.5,34,79.9,85.6,47.3,48.5,52,49
"4043",14132,6859,3248,3611,14.9,12.4,2.9,6.2,16.4,9.4,42.5,40.7,77.9,73.7,38.1,37.4,48,53
"4044",14134,125,44,81,15.9,50.6,18.2,0,0,0,56.8,19.8,65.9,49.4,38.8,14.9,36,65
"4045",14135,137,72,65,5.6,12.3,18.1,0,8.3,20,62.5,32.3,76.4,75.4,32.7,43.4,53,48
"4046",14136,5252,2477,2775,10.6,15.2,4.2,2.9,11,5.9,41.8,31.7,79.2,75,38.9,41.4,48,53
"4047",14138,2073,984,1089,15.9,14.2,6.8,3.3,7.7,4.3,37.8,34.3,70.5,69.7,33.7,35.5,48,53
"4048",14139,1983,943,1040,11.2,11.7,1.6,8.2,6.3,7.1,31.7,30.5,84.6,71,47.3,43.4,48,53
"4049",14141,7501,3711,3790,12,10.6,5.7,2.6,4.2,6.7,31.4,33.8,73.5,82,43.7,45.4,50,51
"4050",14143,1200,595,605,12.3,4.1,7.1,2.1,7.4,11.1,36.6,35.5,75.5,82,42.7,43.8,50,51
"4051",14145,1507,737,770,5,13.6,5.3,9,11.1,9.5,33.2,40.3,83,74.4,48.3,38.8,49,52
"4052",14150,42279,19888,22391,11.3,10.1,3.8,3.2,8.3,9.6,37.3,35.6,80.3,82.6,42.9,45.2,48,53
"4053",14167,1730,967,763,11.1,16.9,2.5,2.4,8.2,6.2,40.3,34.9,79.9,76.5,39.3,40.8,56,45
"4054",14168,104,41,63,22,50.8,14.6,0,0,0,53.7,44.4,46.3,49.2,16.8,11.9,40,61
"4055",14169,344,174,170,47.7,25.3,13.2,0,0,0,19.5,32.4,39.1,74.7,17.2,31.7,51,50
"4056",14170,2374,1232,1142,12.4,9.5,5.4,4,13.8,6.5,34.9,29.9,79.3,82.3,43.9,47.1,52,49
"4057",14171,2062,991,1071,17.9,14.6,4.8,4.8,5.8,7.3,29.1,31.1,74.7,78.2,47.1,47.3,49,52
"4058",14172,3246,1660,1586,12.5,14.6,5.8,3.7,3.6,4.3,30.2,27.3,74.9,78.4,45.3,48,52,49
"4059",14173,217,135,82,30.4,0,0,0,0,0,0,53.7,69.6,100,48,43.9,63,38
"4060",14174,5956,2994,2962,10,13.9,4.7,3.4,9.5,7.2,33.4,29.2,80.2,77.1,46.4,46.2,51,50
"4061",14201,12802,6479,6323,14,8.6,4.8,3.4,10.6,13.4,49.3,49.7,74,79.1,29.8,31.5,51,50
"4062",14202,3741,2204,1537,4.2,5.6,2.3,2.1,21,17.2,58.2,44.4,90.8,86.1,35.3,36.9,59,42
"4063",14203,1415,738,677,7.7,5.2,1.4,5.2,13.1,13.3,58.1,49.2,88.8,84.8,35.3,37.7,53,48
"4064",14204,9235,4102,5133,10.6,14.8,6.2,3.3,10.3,9.4,41.2,36.7,76.2,77.2,35,40.6,45,56
"4065",14206,22106,10543,11563,12.7,11.5,3,4.4,7.2,9.3,38.1,37.3,76.4,78.8,38.9,40.4,48,53
"4066",14207,22312,11188,11124,14,15.4,4.4,4,10.7,10.5,43.7,41.1,73.4,71.6,32.6,31.4,51,50
"4067",14208,11492,4820,6672,16.4,11.6,3.7,5.9,25,19.3,47,42.8,75.3,78.3,25.3,35.8,42,59
