"","Id2","M_MedianEarnings_LessThanHighSchoolGraduate","F_MedianEarnings_LessThanHighSchoolGraduate","M_MedianEarnings_HighSchoolGraduate","F_MedianEarnings_HighSchoolGraduate","M_MedianEarnings_SomeCollegeOrAssociate'sDegree","F_MedianEarnings_SomeCollegeOrAssociate'sDegree","M_MedianEarnings_Bachelor'sDegree","F_MedianEarnings_Bachelor'sDegree","M_MedianEarnings_GraduateOrProfessionalDegree","F_MedianEarnings_GraduateOrProfessionalDegree"
"197",1105,22328,15263,20833,17137,22143,25385,30242,47548,98519,33864
"198",1106,29194,17083,38712,17283,60714,32935,83523,41364,115781,64947
"199",1107,21573,12170,20769,25133,30765,22209,52063,34338,64792,52083
"200",1108,18750,12329,21866,21131,30179,22366,51528,47539,67228,65362
"201",1109,18576,15651,30730,21206,35702,27962,44886,32024,61333,59712
"202",1118,35000,26563,39647,30124,53009,35565,49119,54844,63333,54643
"203",1119,35539,20662,36019,22714,40592,32127,54423,37091,46250,43875
"204",1128,40147,20926,48650,26944,43929,34063,34605,56750,35804,68750
"205",1129,31667,12167,43315,22143,40583,32351,50841,43070,58578,58979
"206",1151,22018,23580,29408,20804,38194,23429,32039,40278,46250,54286
"207",1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",1201,18571,11688,31938,21849,42500,26210,53381,37973,53200,48238
"209",1220,18281,17870,32056,20163,39545,32690,70000,32406,49375,51563
"210",1222,NA,NA,42625,14063,46938,31688,80114,36094,NA,48611
"211",1223,33438,16875,34167,21389,37500,22132,56250,43088,66250,31711
"212",1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",1225,NA,9417,33850,19722,62566,26633,62955,21667,79327,52337
"214",1226,NA,41010,32841,21062,30938,32115,81771,29554,51875,40382
"215",1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",1230,24375,18142,29583,27311,37600,22432,65466,42589,76484,34821
"217",1235,36053,17159,32350,19904,43438,31771,52292,34474,81917,57969
"218",1236,NA,NA,12986,31625,18333,13268,16000,32303,68793,42581
"219",1237,39904,NA,35230,23750,53622,30556,55114,29259,74625,62656
"220",1238,16731,NA,35000,11641,39770,26548,44318,31974,60917,50662
"221",1240,NA,NA,29792,25469,53304,16985,51354,49500,95938,54444
"222",1242,NA,NA,13125,NA,NA,NA,NA,NA,NA,NA
"223",1243,NA,NA,53036,27083,53636,30125,78750,33750,NA,56250
"224",1244,NA,NA,NA,NA,NA,NA,NA,27000,NA,NA
"225",1245,NA,NA,34375,26786,32841,17917,11111,8611,90750,45313
"226",1247,19496,9200,34265,21859,36424,25039,57591,40038,49286,44375
"227",1253,NA,NA,31908,21250,31667,31406,80000,46528,94886,40938
"228",1254,NA,NA,23750,32969,54545,34375,48750,41875,123056,76250
"229",1255,18750,NA,52917,23571,26875,22115,33929,44583,80417,41667
"230",1256,20833,NA,45000,30568,44375,32083,132917,41250,71250,67917
"231",1257,25642,NA,35114,23571,48875,27574,31406,48512,70625,20000
"232",1258,NA,NA,37188,18875,35500,27500,24821,16250,100139,10000
"233",1259,NA,NA,63500,14750,44167,37159,19554,2981,53625,71442
"234",1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",1262,NA,NA,29514,29531,40500,14750,48214,28571,1e+05,80893
"236",1264,NA,NA,20417,9583,NA,22500,81250,46250,102500,4750
"237",1266,NA,NA,27083,20417,60750,42125,77273,31875,74000,41250
"238",1267,29097,17969,31328,30565,51853,27100,73625,32137,80870,63750
"239",1270,NA,NA,46250,25909,53958,31667,66500,55313,66875,60625
"240",1301,25000,16196,32936,22313,37326,25815,48529,39042,56172,44902
"241",1330,NA,11528,49688,14000,33125,39219,55150,30903,52031,39861
"242",1331,30341,25303,42401,26364,48555,28448,64960,39671,75417,39872
"243",1337,31000,18125,46492,25500,40345,32550,35417,26667,62125,40500
"244",1338,NA,NA,45833,NA,38500,36071,NA,56042,63929,NA
"245",1339,14219,23500,41667,24286,26250,21667,36875,44688,53571,31875
"246",1340,24250,12000,33864,17330,28000,25179,31806,25972,47375,36563
"247",1341,17188,NA,38083,27143,38393,26705,45625,34167,96429,43417
"248",1342,NA,NA,58235,NA,73561,80171,41587,24403,91750,35583
"249",1343,NA,NA,78333,NA,NA,NA,NA,NA,NA,NA
"250",1344,35592,33125,43750,21875,41579,26823,51667,28438,58750,62083
"251",1346,NA,NA,33750,14485,50536,18750,34375,46667,81250,68929
"252",1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,21406
"253",1349,NA,NA,30804,50750,31731,37917,32083,50000,77692,24904
"254",1350,NA,NA,40893,16563,34167,43750,NA,36667,NA,NA
"255",1351,NA,NA,45196,13603,42222,32500,53906,37955,68021,62632
"256",1354,30833,NA,43750,21250,46750,20227,42026,54750,54231,58795
"257",1355,NA,NA,35750,21607,42969,48333,53750,33864,63750,22083
"258",1360,31250,NA,46864,19018,40119,39000,30341,42778,41932,50795
"259",1364,15714,27292,37895,15221,39803,26146,63417,51176,63529,50167
"260",1366,25625,NA,46106,16875,46786,43333,60000,24318,61042,73333
"261",1367,4583,NA,45500,33438,36250,16591,35625,16250,NA,72083
"262",1368,43438,12500,53047,30526,44583,19732,65588,62833,50536,63750
"263",1370,44750,8092,41875,13375,47065,26741,38200,32356,37500,31103
"264",1373,16490,NA,41146,24821,56823,27701,41750,42885,53088,51354
"265",1375,20938,NA,31525,25268,42832,31094,43550,31250,84453,50156
"266",1376,8125,26191,32670,25438,41000,27292,43958,37108,66161,46103
"267",1378,60417,NA,37188,26875,35833,42000,46750,34583,53750,56563
"268",1379,16172,37083,30313,13125,26250,41250,29167,19348,37813,25938
"269",1420,25461,22417,36429,25383,35614,26718,63173,43968,55083,63780
"270",1430,NA,NA,60987,31418,54145,35455,65750,40337,95189,46750
"271",1431,48077,39219,48542,26172,54911,23681,54821,33625,41875,23036
"272",1432,27411,19200,36333,22697,55366,33750,63596,60288,54811,69583
"273",1434,6607,NA,13929,NA,50360,21615,3214,98309,14583,NA
"274",1436,41984,12391,71719,32917,54034,31657,50515,83359,90707,23889
"275",1438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",1440,25362,27614,36291,24455,42708,30898,49722,37548,76548,41339
"277",1450,NA,NA,50417,26797,59883,27457,103378,27286,128423,63112
"278",1451,NA,NA,19453,NA,53750,19950,90074,26786,162000,53859
"279",1452,60208,NA,39450,31929,57500,34125,81750,44236,83500,67917
"280",1453,31357,20603,36495,23571,43083,31104,68299,46934,75153,51862
"281",1460,NA,NA,26678,13295,59356,23564,85305,57150,108938,68000
"282",1462,25795,9327,40161,17097,54500,42578,101083,42521,124205,52317
"283",1463,11714,25370,50000,22128,59906,34160,90625,43768,111518,66989
"284",1464,4469,10913,32612,23100,41000,30880,56677,35500,92006,51786
"285",1467,NA,NA,NA,NA,NA,NA,76406,NA,41422,NA
"286",1468,48199,NA,48811,17986,45556,34806,68750,40833,NA,28382
"287",1469,19844,6304,52577,30972,53892,30172,70847,37656,77917,71307
"288",1473,71172,NA,46167,26512,42477,35189,85069,43906,105270,42083
"289",1474,NA,NA,53615,22188,71818,56964,100139,36359,83750,61442
"290",1475,21838,38897,42307,28017,44559,25517,80980,45667,91181,55188
"291",1501,32917,22188,45481,24595,52366,36567,77198,44182,78571,59392
"292",1503,60197,26304,39526,23264,50481,27750,61607,47237,72500,64891
"293",1504,37727,13832,43226,31500,51250,39303,71111,51691,80556,56103
"294",1505,9676,NA,51583,31799,51151,37813,72348,32321,114500,96382
"295",1506,15859,NA,43922,19500,49076,20875,74875,39358,85893,77500
"296",1507,27477,11776,47500,35028,70687,43203,70132,46832,86833,66068
"297",1510,26333,16875,37054,29250,47308,37188,66424,56385,76685,67222
"298",1515,NA,NA,46083,28125,38859,31167,74844,50625,84000,31818
"299",1516,42896,NA,50921,23015,56875,32442,75069,36955,114297,67411
"300",1518,NA,NA,56875,27900,73700,20893,81411,54102,77788,24613
"301",1519,NA,NA,31496,43750,49922,45541,88269,42338,108906,64271
"302",1520,31932,14387,51047,26563,47054,38718,76523,47637,105156,61289
"303",1521,17019,NA,40500,26250,58810,32083,66302,47813,78083,61500
"304",1522,7292,NA,50109,31786,56563,49653,71429,52422,92697,51000
"305",1523,6923,NA,50641,12019,59400,32370,71667,55865,55536,53431
"306",1524,36806,21397,51350,19795,51042,38364,57250,46765,92692,59773
"307",1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",1527,43060,41406,50366,27219,43367,34189,60000,49347,63958,52159
"309",1529,48594,20417,43750,20333,55625,39107,90583,32500,106071,49063
"310",1531,26250,NA,48750,26563,62813,23750,48750,44821,83750,58333
"311",1532,28750,53375,44732,22734,55938,33387,99722,37104,105978,75777
"312",1534,NA,NA,42950,16250,52984,37422,96750,61875,106438,63750
"313",1535,28750,NA,46597,34107,63958,29500,52337,45179,63636,70489
"314",1536,18854,92596,42867,10573,51289,40905,101354,46974,82064,60156
"315",1537,NA,NA,37566,42614,80439,26010,73354,44464,NA,59625
"316",1540,28701,NA,44363,23088,45764,32810,70273,43458,73682,52444
"317",1541,NA,22813,42708,26939,70859,23105,64519,34526,103750,66452
"318",1542,NA,NA,51136,38160,45262,50893,54005,43750,51875,61563
"319",1543,32813,3714,53519,22891,56949,30699,71131,58750,86912,75033
"320",1545,32054,28839,40665,22955,50827,38180,90417,52536,102295,63271
"321",1550,36250,22500,41375,26823,38966,28024,62232,30000,63625,31000
"322",1560,NA,NA,50761,30859,51111,42067,60714,63259,119125,65000
"323",1561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",1562,20644,18500,31268,27411,54091,40824,67865,46292,77339,62024
"325",1564,23688,NA,52778,17981,56250,28074,71868,56164,92059,77040
"326",1566,55972,NA,45875,27031,56196,34792,64950,54375,83750,54412
"327",1568,NA,NA,57757,15000,41533,37177,109410,71962,96319,73566
"328",1569,27070,9453,46097,26570,55544,39531,71048,55078,82167,73103
"329",1570,23616,9236,33563,25657,43182,35196,69464,45625,78906,51577
"330",1571,45313,28625,47727,17207,51005,33977,68081,41825,79868,57644
"331",1581,22353,18092,37957,30772,51793,32267,93814,47099,108714,70769
"332",1583,23000,NA,36488,20368,46667,40038,67328,52717,86953,67841
"333",1585,47647,NA,49457,33281,47794,31950,64213,37393,59028,72132
"334",1588,29286,15000,27163,23365,58559,32382,87802,42222,89375,51679
"335",1590,16563,3500,48899,29741,82228,32500,94792,64743,90156,73147
"336",1602,56004,17794,30868,26015,42211,28936,55237,40212,79089,62646
"337",1603,28911,16225,35977,30758,40911,29719,47188,43750,86159,54671
"338",1604,21968,21701,37175,24046,45315,32930,64504,46967,62016,58056
"339",1605,28884,13608,32033,23482,43848,28487,42974,41064,49926,53045
"340",1606,13792,12277,41471,30154,48157,33070,60109,52745,64219,67664
"341",1607,25554,47643,45560,27794,43452,28385,41979,37500,72824,25337
"342",1608,28485,20150,11534,16236,35294,20259,NA,30000,64821,NA
"343",1609,16480,15243,21197,17232,28147,30854,76016,37333,70875,65554
"344",1610,23333,16563,24512,21950,31392,25964,35859,32019,55288,47045
"345",1611,NA,16991,40987,27000,26250,32321,88409,46061,92031,56389
"346",1612,51563,NA,40972,28750,66625,37794,87426,42361,80446,36458
"347",1701,32772,4883,39255,26716,46908,33309,68292,46406,96484,64703
"348",1702,23850,17551,28619,17097,44542,31764,64682,40781,88849,55875
"349",1718,NA,NA,NA,NA,NA,NA,68365,NA,116333,125577
"350",1719,NA,NA,58958,NA,73628,31563,111125,36947,140179,80561
"351",1720,31458,NA,42569,9866,55000,27946,95956,49630,122222,63178
"352",1721,26205,17750,47045,33808,52099,37589,84575,58449,117143,66324
"353",1730,56318,NA,42500,24038,49107,31003,88986,60833,107934,74139
"354",1731,NA,NA,NA,NA,49904,48800,77212,38750,80530,21136
"355",1740,35521,29500,42813,10909,72000,31111,112339,61563,132841,75694
"356",1741,NA,NA,65378,45884,34224,34886,118000,43824,170000,78000
"357",1742,7539,NA,34667,33375,51676,31655,112260,32375,135066,68984
"358",1745,NA,NA,NA,7222,NA,NA,51833,NA,NA,NA
"359",1746,NA,35875,48750,13333,60594,33654,101250,39219,92589,76250
"360",1747,50489,NA,46458,33792,62463,37000,115043,44105,78839,71741
"361",1748,62900,46667,54441,29637,69816,22380,109147,50272,141326,73516
"362",1749,25322,17262,41603,31103,50290,39313,80521,41168,101250,71394
"363",1752,25597,19504,36844,21576,49702,35407,74750,45836,99620,63648
"364",1754,26179,NA,33444,17614,41827,25690,82639,48235,97105,59688
