"zip"|"name"|"employment"|"annual_payroll"|"lat"|"long"|"dma_code"|"dma_name"
"162"|1536|"NORTH GRAFTON, MA"|1878|113644|42.227975|-71.699339|506|"Boston et al, MA-NH"
"163"|1537|"NORTH OXFORD, MA"|762|30512|42.169134|-71.894821|506|"Boston et al, MA-NH"
"164"|1540|"OXFORD, MA"|3753|186787|42.115363|-71.868002|506|"Boston et al, MA-NH"
"165"|1541|"PRINCETON, MA"|956|17435|42.451112|-71.876773|506|"Boston et al, MA-NH"
"166"|1542|"ROCHDALE, MA"|417|17032|42.199449|-71.909511|506|"Boston et al, MA-NH"
"167"|1543|"RUTLAND, MA"|860|29175|42.377602|-71.951369|506|"Boston et al, MA-NH"
"168"|1545|"SHREWSBURY, MA"|10460|438637|42.284313|-71.715469|506|"Boston et al, MA-NH"
"169"|1550|"SOUTHBRIDGE, MA"|4960|194724|42.074709|-72.034334|506|"Boston et al, MA-NH"
"170"|1560|"SOUTH GRAFTON, MA"|301|13715|42.174944|-71.680472|506|"Boston et al, MA-NH"
"171"|1562|"SPENCER, MA"|2693|112712|42.244667|-71.989136|506|"Boston et al, MA-NH"
"172"|1564|"STERLING, MA"|2273|86415|42.437815|-71.769296|506|"Boston et al, MA-NH"
"173"|1566|"STURBRIDGE, MA"|3530|104179|42.109605|-72.076089|506|"Boston et al, MA-NH"
"174"|1568|"UPTON, MA"|697|29536|42.170981|-71.608581|506|"Boston et al, MA-NH"
"175"|1569|"UXBRIDGE, MA"|3189|131825|42.072554|-71.632662|506|"Boston et al, MA-NH"
"176"|1570|"WEBSTER, MA"|6053|240200|42.047798|-71.864617|506|"Boston et al, MA-NH"
"177"|1571|"DUDLEY, MA"|2367|87132|42.049178|-71.918107|506|"Boston et al, MA-NH"
"178"|1581|"WESTBOROUGH, MA"|23368|1459265|42.267451|-71.616729|506|"Boston et al, MA-NH"
"179"|1583|"WEST BOYLSTON, MA"|2510|95892|42.356291|-71.782817|506|"Boston et al, MA-NH"
"180"|1585|"WEST BROOKFIELD, MA"|760|27599|42.228415|-72.164234|506|"Boston et al, MA-NH"
"181"|1588|"WHITINSVILLE, MA"|2817|102833|42.117861|-71.666031|506|"Boston et al, MA-NH"
"182"|1590|"SUTTON, MA"|1930|78074|42.14359|-71.741507|506|"Boston et al, MA-NH"
"183"|1602|"WORCESTER, MA"|2545|78100|42.270747|-71.842683|506|"Boston et al, MA-NH"
"184"|1603|"WORCESTER, MA"|6413|230917|42.244949|-71.837839|506|"Boston et al, MA-NH"
"185"|1604|"WORCESTER, MA"|16118|852833|42.253795|-71.773903|506|"Boston et al, MA-NH"
"186"|1605|"WORCESTER, MA"|20715|1178934|42.289515|-71.791238|506|"Boston et al, MA-NH"
"187"|1606|"WORCESTER, MA"|10258|463282|42.312273|-71.794653|506|"Boston et al, MA-NH"
"188"|1607|"WORCESTER, MA"|2456|94367|42.230534|-71.796326|506|"Boston et al, MA-NH"
"189"|1608|"WORCESTER, MA"|10330|603072|42.26228|-71.801268|506|"Boston et al, MA-NH"
"190"|1609|"WORCESTER, MA"|9978|347278|42.288057|-71.83159|506|"Boston et al, MA-NH"
"191"|1610|"WORCESTER, MA"|8887|294853|42.248972|-71.810315|506|"Boston et al, MA-NH"
"192"|1611|"CHERRY VALLEY, MA"|247|7558|42.236559|-71.873085|506|"Boston et al, MA-NH"
"193"|1612|"PAXTON, MA"|889|21478|42.307969|-71.923289|506|"Boston et al, MA-NH"
"194"|1701|"FRAMINGHAM, MA"|28557|1945435|42.319604|-71.425908|506|"Boston et al, MA-NH"
"195"|1702|"FRAMINGHAM, MA"|14048|956822|42.282353|-71.423946|506|"Boston et al, MA-NH"
"196"|1718|"VILLAGE OF NAGOG WOODS, MA"|0|0|42.519697|-71.429516|506|"Boston et al, MA-NH"
"197"|1719|"BOXBOROUGH, MA"|4430|531412|42.485813|-71.515564|506|"Boston et al, MA-NH"
"198"|1720|"ACTON, MA"|7889|424194|42.481793|-71.441826|506|"Boston et al, MA-NH"
"199"|1721|"ASHLAND, MA"|4619|186442|42.255124|-71.459093|506|"Boston et al, MA-NH"
"200"|1730|"BEDFORD, MA"|16584|1470909|42.495729|-71.276766|506|"Boston et al, MA-NH"
"201"|1731|"HANSCOM AFB, MA"|828|71386|42.454066|-71.27916|506|"Boston et al, MA-NH"
"202"|1740|"BOLTON, MA"|789|46011|42.435798|-71.604523|506|"Boston et al, MA-NH"
"203"|1741|"CARLISLE, MA"|459|28050|42.529177|-71.352482|506|"Boston et al, MA-NH"
"204"|1742|"CONCORD, MA"|9876|630038|42.457671|-71.375385|506|"Boston et al, MA-NH"
"205"|1745|"FAYVILLE, MA"|157|10317|42.293876|-71.502013|506|"Boston et al, MA-NH"
"206"|1746|"HOLLISTON, MA"|6833|397779|42.201226|-71.436639|506|"Boston et al, MA-NH"
"207"|1747|"HOPEDALE, MA"|1401|77327|42.126346|-71.536508|506|"Boston et al, MA-NH"
"208"|1748|"HOPKINTON, MA"|12444|1524371|42.222032|-71.533388|506|"Boston et al, MA-NH"
"209"|1749|"HUDSON, MA"|7265|341370|42.391437|-71.559777|506|"Boston et al, MA-NH"
"210"|1752|"MARLBOROUGH, MA"|31238|2431821|42.350584|-71.54193|506|"Boston et al, MA-NH"
"211"|1754|"MAYNARD, MA"|2317|189027|42.431677|-71.453956|506|"Boston et al, MA-NH"
"212"|1756|"MENDON, MA"|1048|34263|42.095045|-71.549218|506|"Boston et al, MA-NH"
"213"|1757|"MILFORD, MA"|14961|838202|42.151083|-71.525536|506|"Boston et al, MA-NH"
"214"|1760|"NATICK, MA"|21329|1219957|42.287535|-71.357346|506|"Boston et al, MA-NH"
"215"|1770|"SHERBORN, MA"|471|23905|42.232493|-71.378031|506|"Boston et al, MA-NH"
"216"|1772|"SOUTHBOROUGH, MA"|7081|564311|42.293389|-71.530045|506|"Boston et al, MA-NH"
"217"|1773|"LINCOLN, MA"|1264|71965|42.422708|-71.312314|506|"Boston et al, MA-NH"
"218"|1775|"STOW, MA"|1087|47215|42.431133|-71.513616|506|"Boston et al, MA-NH"
"219"|1776|"SUDBURY, MA"|6516|393990|42.384953|-71.427683|506|"Boston et al, MA-NH"
"220"|1778|"WAYLAND, MA"|3156|131018|42.349366|-71.357473|506|"Boston et al, MA-NH"
"221"|1801|"WOBURN, MA"|41544|2571208|42.484384|-71.156584|506|"Boston et al, MA-NH"
"222"|1803|"BURLINGTON, MA"|40448|3235786|42.507557|-71.199004|506|"Boston et al, MA-NH"
"223"|1810|"ANDOVER, MA"|29952|2354694|42.651346|-71.15808|506|"Boston et al, MA-NH"
"224"|1821|"BILLERICA, MA"|14615|1066690|42.550586|-71.251945|506|"Boston et al, MA-NH"
"225"|1824|"CHELMSFORD, MA"|19083|1239775|42.593211|-71.357527|506|"Boston et al, MA-NH"
"226"|1826|"DRACUT, MA"|4282|173560|42.677412|-71.318432|506|"Boston et al, MA-NH"
"227"|1827|"DUNSTABLE, MA"|142|5237|42.673533|-71.500326|506|"Boston et al, MA-NH"
"228"|1830|"HAVERHILL, MA"|7099|251734|42.78633|-71.071958|506|"Boston et al, MA-NH"
"229"|1832|"HAVERHILL, MA"|4521|179410|42.780037|-71.111245|506|"Boston et al, MA-NH"
"230"|1833|"GEORGETOWN, MA"|1924|77809|42.726262|-70.979146|506|"Boston et al, MA-NH"
"231"|1834|"GROVELAND, MA"|863|38133|42.752944|-71.023088|506|"Boston et al, MA-NH"
"232"|1835|"HAVERHILL, MA"|5303|231590|42.757963|-71.084551|506|"Boston et al, MA-NH"
"233"|1840|"LAWRENCE, MA"|5529|166523|42.708423|-71.161207|506|"Boston et al, MA-NH"
"234"|1841|"LAWRENCE, MA"|6300|274885|42.711636|-71.166895|506|"Boston et al, MA-NH"
"235"|1843|"LAWRENCE, MA"|8642|395320|42.691215|-71.159668|506|"Boston et al, MA-NH"
"236"|1844|"METHUEN, MA"|15574|599752|42.729437|-71.179039|506|"Boston et al, MA-NH"
"237"|1845|"NORTH ANDOVER, MA"|14397|714954|42.67949|-71.104072|506|"Boston et al, MA-NH"
"238"|1850|"LOWELL, MA"|1448|30657|42.65625|-71.304842|506|"Boston et al, MA-NH"
"239"|1851|"LOWELL, MA"|7658|446235|42.631792|-71.333108|506|"Boston et al, MA-NH"
"240"|1852|"LOWELL, MA"|11660|411463|42.635079|-71.298821|506|"Boston et al, MA-NH"
"241"|1854|"LOWELL, MA"|6801|328539|42.649349|-71.336379|506|"Boston et al, MA-NH"
"242"|1860|"MERRIMAC, MA"|522|18042|42.834974|-71.00595|506|"Boston et al, MA-NH"
"243"|1862|"NORTH BILLERICA, MA"|8268|456626|42.573317|-71.29041|506|"Boston et al, MA-NH"
